id,organization_id,category_id
1,1,1
2,1,7
3,1,9
4,2,5
5,2,7
6,3,1
7,4,1
8,4,9
9,5,2
10,5,3
11,6,1
12,6,2
13,6,3
14,7,4
15,8,1
16,8,2
17,8,3
18,8,5
19,8,6
20,8,7
21,8,9
22,8,10
23,8,12
24,9,1
25,9,2
26,9,3
27,9,5
28,9,6
29,9,7
30,9,9
31,9,10
32,9,12
33,10,1
34,10,2
35,11,1
36,11,7
37,12,1
38,12,2
39,12,3
40,12,5
41,12,6
42,12,7
43,12,9
44,12,10
45,12,12
46,13,1
47,13,2
48,13,3
49,13,5
50,13,6
51,13,7
52,13,9
53,13,10
54,13,12
55,14,1
56,14,2
57,14,3
58,14,10
59,15,2
60,15,3
61,15,5
62,16,7
63,16,9
64,17,1
65,17,2
66,17,3
67,17,5
68,17,6
69,17,7
70,17,9
71,17,10
72,17,12
73,18,7
74,18,9
75,19,1
76,19,2
77,19,3
78,19,5
79,19,6
80,19,7
81,19,9
82,19,10
83,19,12
84,20,1
85,20,2
86,20,3
87,20,5
88,20,6
89,20,7
90,20,9
91,20,10
92,20,12
93,21,1
94,21,7
95,22,2
96,22,3
97,22,5
98,22,6
99,22,7
100,23,1
101,23,2
102,23,3
103,23,5
104,23,6
105,23,7
106,23,9
107,23,10
108,23,12
109,24,10
110,25,1
111,25,2
112,25,3
113,25,5
114,25,6
115,25,7
116,25,9
117,25,10
118,25,12
119,26,1
120,26,10
121,26,9
122,27,1
123,27,2
124,27,5
125,27,10
126,28,1
127,28,2
128,28,3
129,28,5
130,28,6
131,28,7
132,28,9
133,28,10
134,28,12
135,29,1
136,30,12
137,31,5
138,32,1
139,32,2
140,32,3
141,32,5
142,32,6
143,32,7
144,32,9
145,32,10
146,32,11
147,32,12
148,33,5
149,33,6
150,33,11
151,34,7
152,35,7
153,35,9
154,36,1
155,36,2
156,36,3
157,36,5
158,36,6
159,36,7
160,36,9
161,36,10
162,36,11
163,36,12
164,37,1
165,37,2
166,37,3
167,37,5
168,37,6
169,37,7
170,37,9
171,37,10
172,37,12
173,38,1
174,38,2
